"Name","agentforce1__External_Id__c","agentforce1__Ignore_Triggers__c","agentforce1__JSON_Type__c","agentforce1__Length__c","agentforce1__Purpose_Description__c","agentforce1__Type__c","agentforce1__Mapped_sObject__r.agentforce1__External_Id__c"
"agentforce1__Allergies__c","134d995a-d46e-4347-887f-0f8b14ee4ff8","false","String","255.0","Any (potential) allergies are listed in here split by a comma","STRING","95d3d702-eadc-4e95-b7b6-d06d880ecf50"
"agentforce1__Confidence_Score__c","4f701d3f-f996-4ccf-b92b-cf458a70f6f2","false","Number","0.0","Give a confidence score on how confident you are about this product containing any allergens","DOUBLE","95d3d702-eadc-4e95-b7b6-d06d880ecf50"
"agentforce1__Estimated_Amount_Of_Calories__c","311166f1-9294-4a32-bf73-73ec833785e8","false","Number","0.0","Give an estimated number of calories in a normal portion of this product. Don't waste too much time on this though. It has not to be very accurate","DOUBLE","95d3d702-eadc-4e95-b7b6-d06d880ecf50"
"agentforce1__Price__c","412b4808-62ce-4e60-b91d-0cbb8dc57199","false","Number","0.0","Put the price in here. Prices areformatted like xx.xx. Two decimals","DOUBLE","95d3d702-eadc-4e95-b7b6-d06d880ecf50"
"agentforce1__Reason_for_confidence_score__c","6492c03b-90fb-4c4d-8ba1-d39cb77b3270","false","String","32768.0","Give a detailed reason on why you gave the product confidence score","TEXTAREA","95d3d702-eadc-4e95-b7b6-d06d880ecf50"
"CloseDate","ace691fb-49e7-467a-b7fa-d7da16200155","false","Date","0.0","Generate a close date between 1 day or 100 days in the future","DATE","d65f0b1a-8c7c-495f-9c21-3426226dd006"
"Name","7b9ad823-749c-4ae9-ad06-b0379f565b11","false","String","120.0","Give if a suitable, yet believable name","STRING","d65f0b1a-8c7c-495f-9c21-3426226dd006"
"StageName","b7065c2b-f712-45ea-9955-4a8db25daa60","false","String","255.0","Set as ""New""","PICKLIST","d65f0b1a-8c7c-495f-9c21-3426226dd006"
"Name","b0028afb-d193-422d-9ccf-e33099ca8a81","false","String","255.0","The name of the account","STRING","53f389c3-ae48-4dc1-abcc-67d986793c79"
"ActivityDate","19221337-a019-4af7-a1e2-502b46174f4b","false","Date","0.0","Set this one week from today","DATE","5f6a7cf2-29ba-4850-968d-e1162594e4ee"
"Description","c711d73d-7134-412c-93f0-3726d6765cf3","false","String","32000.0","Give a real-life or plausible description","TEXTAREA","5f6a7cf2-29ba-4850-968d-e1162594e4ee"
"Subject","3e4189d5-9457-46c2-a250-3c650941cb47","false","String","255.0","Give it a realistic subject","COMBOBOX","5f6a7cf2-29ba-4850-968d-e1162594e4ee"
"AccountId","5f3519f6-8ecd-4329-b2d7-6ae8690281bc","false","REFERENCE","18.0","Relate this to the parent account","REFERENCE","d65f0b1a-8c7c-495f-9c21-3426226dd006"
"agentforce1__Recipe_Idea__c","bebccbdb-bedd-4c42-8e4c-fe6898c73006","false","String","32768.0","Based on the items on the shopping list, create me a nice but not to difficult recipe","TEXTAREA","c40dd8c3-c485-4479-93a5-38ab7eeda795"
"agentforce1__Shop_Name__c","59f98ab6-3745-40a1-afa9-a906614c660a","false","String","255.0","Put he name of the shop in here (if you can find it )","STRING","c40dd8c3-c485-4479-93a5-38ab7eeda795"
"agentforce1__Total__c","b7a2112e-5125-4ea3-a213-02c68c0b60ca","false","Number","0.0","Put the total amount here","DOUBLE","c40dd8c3-c485-4479-93a5-38ab7eeda795"
"agentforce1__VAT__c","6136ceeb-8bdc-43a4-aa61-2b6927fb23cf","false","Number","0.0","Put the VAT Amount here","DOUBLE","c40dd8c3-c485-4479-93a5-38ab7eeda795"
"ContentDocumentId","c46424ca-a18c-45aa-bce3-10b5acf5a474","false","REFERENCE","18.0","A link this to the uploaded file that contains the receipt.","REFERENCE","7f3cb96d-3e73-4567-929c-f65af500a085"
"agentforce1__Timestamp__c","b5767e05-3e13-4a77-be45-f01b960d1c59","false","Datetime","0.0","The date/time of the receipt","DATETIME","c40dd8c3-c485-4479-93a5-38ab7eeda795"
"agentforce1__Payment_Method__c","afc683aa-c6d7-447b-ba9c-b1d492fe0e57","false","String","255.0","If you can find a payment method like the card type or cash or digital you can add that free text in here. Leave blank if the payment type is not obvious","STRING","c40dd8c3-c485-4479-93a5-38ab7eeda795"
"Id","c9f12c62-ba08-4e89-bd4a-938dcd3d5ae5","false","String","18.0","The Contact Id that logged the call","ID","c73dcfdb-0cbd-4f46-8600-b49cfee2d754"
